Day,Time,Food_Item,Food_Category,Food_SubType,Food_Type,Weather,Price,Previous_Sales,Is_Friday,Is_Weekend,Is_Special_Day,Demand
Wednesday,Morning,Chips,Packed,Snack,Veg,Sunny,150,11,0,0,0,10
Saturday,Lunch,Ice_Cream,Fresh,Dessert,Veg,Rainy,180,27,0,1,0,25
Saturday,Morning,Tea,Fresh,Drink,Veg,Rainy,50,21,0,1,0,24
Thursday,Morning,Juice,Fresh,Drink,Veg,Sunny,120,26,0,0,0,27
Tuesday,Lunch,Chocolate,Packed,Dessert,Veg,Sunny,200,25,0,0,0,28
Wednesday,Morning,Veg_Rice,Fresh,Meal,Veg,Rainy,420,27,0,0,0,26
Saturday,Lunch,Parotta,Fresh,Meal,NonVeg,Sunny,400,12,0,1,1,14
Friday,Morning,Samosa,Fresh,Snack,Veg,Sunny,280,19,1,0,0,21
Tuesday,Evening,Ice_Cream,Fresh,Dessert,Veg,Sunny,180,12,0,0,0,11
Saturday,Morning,Chocolate,Packed,Dessert,Veg,Sunny,200,9,0,1,0,9
Thursday,Morning,Juice,Fresh,Drink,Veg,Rainy,120,26,0,0,0,26
Saturday,Lunch,Cake_Piece,Packed,Dessert,Veg,Cloudy,220,13,0,1,0,15
Saturday,Morning,Parotta,Fresh,Meal,NonVeg,Sunny,400,6,0,1,0,6
Thursday,Lunch,Chocolate,Packed,Dessert,Veg,Cloudy,200,24,0,0,0,27
Saturday,Morning,Rice,Fresh,Meal,Veg,Rainy,300,15,0,1,0,14
Monday,Evening,Biscuits,Packed,Snack,Veg,Rainy,100,24,0,0,0,27
Thursday,Morning,Juice,Fresh,Drink,Veg,Cloudy,120,8,0,0,1,8
Friday,Evening,Biscuits,Packed,Snack,Veg,Sunny,100,18,1,0,1,18
Friday,Morning,Parotta,Fresh,Meal,NonVeg,Sunny,400,12,1,0,0,13
Friday,Lunch,Biscuits,Packed,Snack,Veg,Rainy,100,15,1,0,0,14
Wednesday,Lunch,Idly,Fresh,Meal,Veg,Rainy,310,14,0,0,0,13
Monday,Lunch,Cake_Piece,Packed,Dessert,Veg,Cloudy,220,21,0,0,1,23
Saturday,Morning,Rice,Fresh,Meal,Veg,Rainy,300,20,0,1,0,22
Wednesday,Evening,Tea,Fresh,Drink,Veg,Sunny,50,26,0,0,0,24
Monday,Morning,Chicken_Rice,Fresh,Meal,NonVeg,Sunny,350,26,0,0,1,28
Saturday,Lunch,Cake_Piece,Packed,Dessert,Veg,Rainy,220,29,0,1,0,30
Wednesday,Lunch,Juice,Fresh,Drink,Veg,Cloudy,120,28,0,0,0,26
Tuesday,Evening,Biscuits,Packed,Snack,Veg,Rainy,100,28,0,0,0,27
Thursday,Evening,Samosa,Fresh,Snack,Veg,Sunny,280,19,0,0,0,19
Thursday,Evening,Juice,Fresh,Drink,Veg,Cloudy,120,10,0,0,0,9
Sunday,Lunch,Juice,Fresh,Drink,Veg,Sunny,120,8,0,1,0,9
Friday,Morning,Ice_Cream,Fresh,Dessert,Veg,Cloudy,180,14,1,0,0,15
Saturday,Evening,Chocolate,Packed,Dessert,Veg,Rainy,200,28,0,1,0,29
Tuesday,Lunch,SoftDrink,Packed,Drink,Veg,Sunny,180,7,0,0,1,8
Thursday,Evening,Samosa,Fresh,Snack,Veg,Cloudy,280,16,0,0,0,16
Sunday,Evening,Biscuits,Packed,Snack,Veg,Cloudy,100,23,0,1,0,27
Saturday,Lunch,Ice_Cream,Fresh,Dessert,Veg,Rainy,180,6,0,1,0,5
Friday,Lunch,Parotta,Fresh,Meal,NonVeg,Rainy,400,26,1,0,0,25
Friday,Evening,Cake_Piece,Packed,Dessert,Veg,Rainy,220,15,1,0,0,14
Wednesday,Evening,Ice_Cream,Fresh,Dessert,Veg,Sunny,180,5,0,0,0,5
Monday,Lunch,Chocolate,Packed,Dessert,Veg,Rainy,200,26,0,0,0,28
Saturday,Morning,Chips,Packed,Snack,Veg,Rainy,150,17,0,1,0,17
Tuesday,Evening,Ice_Cream,Fresh,Dessert,Veg,Rainy,180,6,0,0,0,6
Monday,Morning,Biscuits,Packed,Snack,Veg,Sunny,100,14,0,0,0,13
Wednesday,Evening,Chicken_Rice,Fresh,Meal,NonVeg,Rainy,350,9,0,0,0,10
Wednesday,Morning,Biscuits,Packed,Snack,Veg,Sunny,100,20,0,0,0,22
Tuesday,Morning,Biscuits,Packed,Snack,Veg,Sunny,100,23,0,0,0,22
Saturday,Evening,Juice,Fresh,Drink,Veg,Sunny,120,26,0,1,1,26
Friday,Morning,Cake_Piece,Packed,Dessert,Veg,Rainy,220,10,1,0,0,11
Saturday,Lunch,Cake_Piece,Packed,Dessert,Veg,Cloudy,220,21,0,1,0,23
Tuesday,Evening,Cake_Piece,Packed,Dessert,Veg,Cloudy,220,18,0,0,0,16
Wednesday,Morning,Parotta,Fresh,Meal,NonVeg,Cloudy,400,10,0,0,0,9
Saturday,Lunch,Chocolate,Packed,Dessert,Veg,Cloudy,200,9,0,1,0,10
Thursday,Evening,Parotta,Fresh,Meal,NonVeg,Rainy,400,10,0,0,0,10
Wednesday,Evening,Biscuits,Packed,Snack,Veg,Sunny,100,9,0,0,0,8
Friday,Lunch,Rice,Fresh,Meal,Veg,Cloudy,300,6,1,0,0,6
Saturday,Lunch,Biscuits,Packed,Snack,Veg,Sunny,100,29,0,1,1,27
Tuesday,Morning,Juice,Fresh,Drink,Veg,Rainy,120,12,0,0,0,14
Saturday,Evening,Parotta,Fresh,Meal,NonVeg,Rainy,400,30,0,1,0,29
Saturday,Morning,Juice,Fresh,Drink,Veg,Rainy,120,27,0,1,0,25
Friday,Morning,Rice,Fresh,Meal,Veg,Cloudy,300,8,1,0,0,8
Tuesday,Evening,Biscuits,Packed,Snack,Veg,Cloudy,100,21,0,0,0,22
Monday,Morning,Cake_Piece,Packed,Dessert,Veg,Rainy,220,29,0,0,0,31
Tuesday,Lunch,SoftDrink,Packed,Drink,Veg,Cloudy,180,15,0,0,1,14
Monday,Lunch,Cake_Piece,Packed,Dessert,Veg,Cloudy,220,23,0,0,0,27
Wednesday,Morning,Juice,Fresh,Drink,Veg,Rainy,120,23,0,0,0,25
Thursday,Lunch,Chocolate,Packed,Dessert,Veg,Sunny,200,19,0,0,0,21
Monday,Evening,Idly,Fresh,Meal,Veg,Sunny,310,19,0,0,0,21
Thursday,Morning,Juice,Fresh,Drink,Veg,Cloudy,120,18,0,0,0,19
Monday,Morning,Rice,Fresh,Meal,Veg,Sunny,300,16,0,0,0,15
Monday,Morning,SoftDrink,Packed,Drink,Veg,Rainy,180,5,0,0,0,4
Wednesday,Evening,Cake_Piece,Packed,Dessert,Veg,Cloudy,220,29,0,0,0,27
Wednesday,Morning,Rice,Fresh,Meal,Veg,Rainy,300,6,0,0,0,6
Monday,Evening,Cake_Piece,Packed,Dessert,Veg,Rainy,220,24,0,0,0,24
Wednesday,Lunch,Parotta,Fresh,Meal,NonVeg,Cloudy,400,18,0,0,0,19
Wednesday,Morning,Ice_Cream,Fresh,Dessert,Veg,Cloudy,180,6,0,0,1,5
Saturday,Lunch,Chocolate,Packed,Dessert,Veg,Rainy,200,14,0,1,0,16
Friday,Evening,Chips,Packed,Snack,Veg,Sunny,150,18,1,0,1,17
Tuesday,Evening,Samosa,Fresh,Snack,Veg,Sunny,280,23,0,0,0,23
Monday,Morning,Chicken_Rice,Fresh,Meal,NonVeg,Rainy,350,8,0,0,0,8
Monday,Evening,Samosa,Fresh,Snack,Veg,Sunny,280,8,0,0,0,8
Wednesday,Lunch,Cake_Piece,Packed,Dessert,Veg,Rainy,220,10,0,0,0,9
Tuesday,Evening,Biscuits,Packed,Snack,Veg,Rainy,100,19,0,0,0,22
Thursday,Morning,Tea,Fresh,Drink,Veg,Rainy,50,15,0,0,0,17
Tuesday,Evening,Chicken_Rice,Fresh,Meal,NonVeg,Rainy,350,6,0,0,1,6
Thursday,Lunch,Biscuits,Packed,Snack,Veg,Sunny,100,17,0,0,0,15
Wednesday,Evening,Chips,Packed,Snack,Veg,Rainy,150,12,0,0,1,12
Saturday,Morning,Juice,Fresh,Drink,Veg,Cloudy,120,9,0,1,1,9
Friday,Lunch,SoftDrink,Packed,Drink,Veg,Sunny,180,21,1,0,0,22
Tuesday,Morning,Veg_Rice,Fresh,Meal,Veg,Sunny,420,27,0,0,0,28
Saturday,Evening,Ice_Cream,Fresh,Dessert,Veg,Rainy,180,15,0,1,0,16
Monday,Morning,Idly,Fresh,Meal,Veg,Cloudy,310,29,0,0,0,33
Saturday,Lunch,Cake_Piece,Packed,Dessert,Veg,Rainy,220,14,0,1,0,16
Tuesday,Morning,Chocolate,Packed,Dessert,Veg,Rainy,200,19,0,0,0,21
Sunday,Evening,Chocolate,Packed,Dessert,Veg,Sunny,200,19,0,1,0,19
Thursday,Evening,Rice,Fresh,Meal,Veg,Sunny,300,27,0,0,0,25
Saturday,Evening,SoftDrink,Packed,Drink,Veg,Sunny,180,30,0,1,0,29
Sunday,Lunch,Rice,Fresh,Meal,Veg,Sunny,300,29,0,1,0,30
Monday,Lunch,Idly,Fresh,Meal,Veg,Rainy,310,30,0,0,0,31
Thursday,Lunch,Juice,Fresh,Drink,Veg,Rainy,120,8,0,0,1,9
Friday,Morning,Idly,Fresh,Meal,Veg,Cloudy,310,6,1,0,0,5
Tuesday,Lunch,Chocolate,Packed,Dessert,Veg,Rainy,200,9,0,0,1,8
Friday,Lunch,Rice,Fresh,Meal,Veg,Cloudy,300,30,1,0,0,33
Wednesday,Evening,Chicken_Rice,Fresh,Meal,NonVeg,Cloudy,350,9,0,0,0,9
Saturday,Morning,Samosa,Fresh,Snack,Veg,Sunny,280,30,0,1,0,33
Wednesday,Evening,Tea,Fresh,Drink,Veg,Rainy,50,18,0,0,0,20
Thursday,Evening,Cake_Piece,Packed,Dessert,Veg,Sunny,220,11,0,0,0,11
Thursday,Lunch,SoftDrink,Packed,Drink,Veg,Rainy,180,19,0,0,0,20
Sunday,Morning,Chicken_Rice,Fresh,Meal,NonVeg,Rainy,350,25,0,1,0,26
Wednesday,Evening,Chips,Packed,Snack,Veg,Sunny,150,15,0,0,0,16
Tuesday,Lunch,Tea,Fresh,Drink,Veg,Cloudy,50,19,0,0,0,19
Tuesday,Evening,Tea,Fresh,Drink,Veg,Sunny,50,30,0,0,0,27
Wednesday,Lunch,Cake_Piece,Packed,Dessert,Veg,Sunny,220,6,0,0,1,6
Friday,Morning,Chips,Packed,Snack,Veg,Cloudy,150,9,1,0,0,9
Wednesday,Evening,Samosa,Fresh,Snack,Veg,Rainy,280,9,0,0,1,10
Tuesday,Lunch,Veg_Rice,Fresh,Meal,Veg,Sunny,420,10,0,0,0,10
Friday,Lunch,Chicken_Rice,Fresh,Meal,NonVeg,Sunny,350,5,1,0,0,4
Friday,Evening,Samosa,Fresh,Snack,Veg,Sunny,280,10,1,0,1,9
Sunday,Evening,Juice,Fresh,Drink,Veg,Rainy,120,25,0,1,0,25
Wednesday,Evening,Tea,Fresh,Drink,Veg,Cloudy,50,12,0,0,0,12
Tuesday,Morning,Chocolate,Packed,Dessert,Veg,Sunny,200,7,0,0,1,6
Sunday,Evening,Chips,Packed,Snack,Veg,Cloudy,150,16,0,1,0,15
Sunday,Morning,Tea,Fresh,Drink,Veg,Cloudy,50,20,0,1,1,23
Saturday,Evening,Parotta,Fresh,Meal,NonVeg,Sunny,400,30,0,1,1,30
Sunday,Lunch,Tea,Fresh,Drink,Veg,Rainy,50,25,0,1,1,28
Saturday,Morning,Parotta,Fresh,Meal,NonVeg,Rainy,400,6,0,1,0,6
Saturday,Morning,Juice,Fresh,Drink,Veg,Rainy,120,30,0,1,0,28
Tuesday,Morning,Samosa,Fresh,Snack,Veg,Sunny,280,15,0,0,1,16
Saturday,Evening,Chicken_Rice,Fresh,Meal,NonVeg,Sunny,350,26,0,1,1,26
Monday,Morning,Chocolate,Packed,Dessert,Veg,Sunny,200,17,0,0,1,19
Wednesday,Lunch,Juice,Fresh,Drink,Veg,Rainy,120,11,0,0,0,10
Sunday,Lunch,Rice,Fresh,Meal,Veg,Cloudy,300,13,0,1,1,13
Monday,Lunch,Tea,Fresh,Drink,Veg,Cloudy,50,25,0,0,0,29
Thursday,Evening,SoftDrink,Packed,Drink,Veg,Cloudy,180,13,0,0,0,14
Sunday,Morning,Veg_Rice,Fresh,Meal,Veg,Rainy,420,14,0,1,0,16
Monday,Morning,Parotta,Fresh,Meal,NonVeg,Sunny,400,15,0,0,0,16
Saturday,Morning,Ice_Cream,Fresh,Dessert,Veg,Rainy,180,26,0,1,0,27
Sunday,Lunch,Idly,Fresh,Meal,Veg,Rainy,310,8,0,1,0,9
Saturday,Evening,Juice,Fresh,Drink,Veg,Sunny,120,19,0,1,0,17
Friday,Evening,Ice_Cream,Fresh,Dessert,Veg,Cloudy,180,28,1,0,0,30
Wednesday,Evening,Parotta,Fresh,Meal,NonVeg,Cloudy,400,19,0,0,0,21
Tuesday,Lunch,Rice,Fresh,Meal,Veg,Rainy,300,26,0,0,1,30
Wednesday,Evening,Cake_Piece,Packed,Dessert,Veg,Rainy,220,20,0,0,0,19
Monday,Morning,Idly,Fresh,Meal,Veg,Sunny,310,23,0,0,1,25
Thursday,Evening,Chicken_Rice,Fresh,Meal,NonVeg,Cloudy,350,8,0,0,0,9
Sunday,Lunch,Chips,Packed,Snack,Veg,Sunny,150,9,0,1,0,9
Thursday,Morning,Chocolate,Packed,Dessert,Veg,Rainy,200,21,0,0,0,19
Wednesday,Lunch,Biscuits,Packed,Snack,Veg,Sunny,100,17,0,0,0,17
Thursday,Lunch,Veg_Rice,Fresh,Meal,Veg,Cloudy,420,26,0,0,0,24
Thursday,Lunch,Chicken_Rice,Fresh,Meal,NonVeg,Cloudy,350,29,0,0,0,29
Friday,Lunch,Cake_Piece,Packed,Dessert,Veg,Cloudy,220,8,1,0,0,8
Tuesday,Evening,Juice,Fresh,Drink,Veg,Rainy,120,15,0,0,0,14
